Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Total
1947,156.3778861,2.800933868,16.40934208,11.2444308,0,8.902725279,97.88282394,89.30202857,334.8869104,220.7286187,68.60628171,28.46751881,1035.6095
1948,14.35056116,7.507628441,0,5.027352333,12.70279598,22.29790063,54.44235262,72.34706357,119.2920041,142.2501444,270.7437034,50.24383688,771.2053435
1949,0,0,0,6.829274684,237.0296552,87.20670654,60.24898434,210.1264914,161.6434128,63.98353386,113.822116,3.449843571,944.3400184
1950,9.048419356,6.589488044,2.314946324,0,68.12155646,26.70178138,83.95128781,150.0824591,162.5948936,202.5667431,258.3847262,3.529250622,973.885552
1951,0.728981644,0,1.845809996,54.68168658,19.38981891,39.6078926,66.70096111,182.9711666,70.53207256,41.11142734,262.5883129,2.799988627,742.9581189
1952,7.177012026,11.34534037,0,0,495.3056976,37.9142611,30.48612574,66.85086446,38.00886592,149.9682428,14.0729177,216.6370989,1067.766427
1953,10.18152109,8.378511429,0,4.610263884,0,25.09219658,100.5584098,116.6239434,165.4051442,337.0715084,142.5312077,18.57651919,929.0292257
1954,31.18174851,0,0,0,1.094624758,8.030257374,188.659346,128.5694332,98.21186042,326.2951966,29.29547,276.031779,1087.369716
1955,72.04311526,2.472862244,0,24.20541835,183.4876769,41.06817643,73.05506635,182.0419668,52.50315714,147.6806985,251.0368775,118.5391763,1148.134192
1956,45.70701885,0,0,75.25683594,14.29231596,83.69356763,97.8904478,125.4995217,120.092682,198.1554262,232.3320231,115.1696186,1108.089458
1957,0,0.83802557,0,2.971876383,7.735706806,34.13711981,142.9937427,92.6323626,126.1566414,189.6339204,445.315429,1.494412184,1043.909237
1958,3.150590181,0,0,0,69.2092514,6.182155848,54.5593811,224.9611485,31.55358368,259.5563135,490.689141,170.0961565,1309.957722
1959,0,8.601983309,0,7.287754416,40.21074581,63.94929799,82.93736929,44.33337665,53.56228745,206.1368584,311.7394115,30.72520533,849.4842901
1960,21.09869111,0,0,0,0.906716228,14.59842223,50.14523008,9.562459648,273.6547593,122.9922309,694.6446499,82.34363556,1269.946795
1961,43.30481696,15.35092545,0,0,1.744741678,104.6495693,160.6861989,242.1958072,91.58101505,186.1287218,268.7199908,11.03226727,1125.394054
1962,25.61758201,8.156654596,18.32404518,20.36381936,88.51106161,98.87905717,36.4596326,309.0758506,100.274243,362.3996837,62.3488888,85.82376206,1216.234281
1963,159.7371899,0,8.538346291,33.59345961,10.13784897,83.11856365,47.83813444,109.328948,60.18927938,154.7896517,298.6212059,191.8968547,1157.789483
1964,0,0,0,0,0,30.15338022,108.0623081,112.0476766,159.0910133,91.28261602,674.1873448,19.12132883,1193.945668
1965,3.882815838,8.247138739,0,14.92452608,0,16.37338656,101.6228033,170.986375,71.50115359,67.76503608,419.9774086,339.0707092,1214.351353
1966,16.24021232,0,0,7.79517372,61.1819849,66.28349018,116.3112241,156.8408867,310.6588001,207.8956645,456.9551378,72.04330815,1472.205882
1967,25.61780345,0,62.30213642,3.25828886,38.78110957,92.78931445,64.78338039,209.4924249,50.12962031,115.2566596,159.3400679,324.490486,1146.241292
1968,0.807341069,0,0,77.17219925,14.15079403,87.01379144,47.10700399,36.41536503,132.6541085,98.26242638,171.2127561,154.7864776,819.5822634
1969,0,0,0,0,28.18970472,45.08201224,82.25555211,74.49672416,26.30554782,611.6210746,306.0403192,207.3039871,1381.294922
1970,0.454129368,4.074409306,0.201835275,1.478984952,1.281201318,50.22502613,209.8838783,130.8959303,61.315027,113.5546738,415.7780866,8.190239131,997.3334215
1971,15.51851583,0,31.83431435,7.660399586,14.38810694,33.93129104,92.31934485,60.84159903,93.22788179,362.3553289,190.6999576,102.8813904,1005.65813
1972,22.89783645,0,0,0,86.30409098,47.00396019,48.52925006,100.8642061,37.40187997,437.2245512,183.2562948,336.4757558,1299.957826
1973,4.070344687,0,0,0,6.754668608,17.9455703,51.53363472,210.3719227,64.93647557,167.2827075,149.4108639,175.0881792,847.3943672
1974,2.779806837,0,0,0,11.42714339,67.93365106,83.16358818,51.96146607,64.99390614,162.5873415,270.7082715,1.284950763,716.8401254
1975,10.99917889,2.277106285,0,0,0,69.36756909,158.5730225,208.3340406,180.1837898,287.4274259,445.5455925,0.29747346,1363.005199
1976,1.883998334,0,0,0.535569429,0,163.5163903,219.5721226,226.5381943,51.35842216,288.594079,554.1931257,50.67961469,1556.871517
1977,0.941956282,5.65968588,0,10.26696014,2.531999826,53.3219568,17.05383042,103.6065909,130.1200026,606.4773214,407.2575184,9.311653376,1346.549476
1978,0.804018632,3.705926657,0,0.882882535,0,34.3134,61.10293761,50.69690035,218.2802705,137.7971106,219.5993153,586.9128625,1314.095625
1979,1.803331032,0,5.056886673,0,112.7765819,17.16597576,87.19867241,55.78080085,170.6170425,140.9842773,458.79721,80.15296102,1130.333739
1980,0,0,0,0,0.946406722,24.04972589,88.18837436,107.5674189,29.46081966,48.94021663,607.5995246,101.4102758,1008.162763
1981,19.57796097,0,0.550589561,16.69262964,18.74271399,13.84410563,150.3548283,118.1066203,210.9747362,319.5017473,93.14930147,115.930491,1077.425724
1982,2.335942745,0,0,1.800741315,1.427643955,68.80771029,48.29765478,53.92820719,75.64698339,236.8031058,215.7379513,9.927669525,714.7136103
1983,0,0,0,0,2.089344978,24.72756383,134.3871743,334.9805897,206.1852412,371.5550374,83.91186729,454.8978398,1612.734658
1984,51.06869701,219.6928824,0,0,0,56.85971469,127.0348521,40.49855703,266.7458738,102.0109527,826.0985957,152.3777488,1842.387874
1985,57.78310688,0,0,23.53012955,24.03698063,72.01269785,152.3340692,110.1892399,131.9922972,99.68178219,902.6429579,142.2945483,1716.49781
1986,231.5464452,76.94052076,0,0,6.951570511,40.54541364,32.51663677,87.61910155,101.9089447,420.7921469,155.2518536,103.0117433,1257.084377
1987,3.195270598,0,21.7258237,17.97250175,17.72936222,60.19236663,43.5114634,182.8951869,44.89921886,320.4549456,237.0513046,279.0194369,1228.646881
1988,1.755752325,0.351150453,0,5.982060716,56.69333267,20.85617957,107.8401908,228.0811983,155.3956878,83.76591682,598.3328609,146.0909994,1405.14533
1989,4.738294005,0,5.560551763,0,6.346611261,84.05120495,197.0902478,52.82933319,143.8833068,111.230561,485.5922773,168.6964309,1260.018819
1990,7.58116436,2.468171358,17.16088638,1.244464874,371.7967269,50.54779936,70.89522573,99.58183008,251.4346952,448.5250403,438.013139,49.08934218,1808.338486
1991,13.93978572,0.441356018,0,0,0,289.5331584,73.29736273,109.4674188,152.6556235,302.8036393,952.8357398,1.535264507,1896.509349
1992,7.847114593,0,0,7.821383953,55.71273994,3.341833413,48.19122252,89.45359324,202.3159938,146.2417642,439.2040045,107.26976,1107.39941
1993,0,0,3.337410212,0,27.83390927,42.07970971,74.5818384,166.1335698,47.73532072,254.9928162,299.7038175,178.7256597,1095.124052
1994,0,27.58880472,0,0,17.28839503,9.911493838,58.08602831,57.18006091,33.81171417,372.4737254,535.4180909,280.0728154,1391.831129
1995,123.5607268,0,19.39513969,0,202.4966599,22.02546149,109.4538226,202.1364428,148.8309912,313.2955444,195.705842,0.878019944,1337.778651
1996,0.10131,0,0,10.56146644,18.03741264,615.1475849,32.98496895,51.44609219,132.9738417,344.6510808,290.2037527,346.683017,1842.790527
1997,12.50198834,0,0,8.476269245,0,46.84214696,41.75833514,96.87620367,108.3786106,118.8499359,580.5895885,230.1991183,1244.472197
1998,2.761333585,0,2.212179661,16.84472498,13.53303659,33.22986516,61.08960462,114.9928928,93.12937345,200.1320239,296.3521004,94.02656317,928.3036983
1999,11.86957312,0.114316344,0,6.047159463,19.68189257,68.24070013,20.68564379,82.41813248,88.07754648,258.036516,192.8103609,34.19719481,782.1790361
2000,0.358687364,193.9337261,10.43985623,23.31724167,8.84332557,51.20294951,63.02241018,80.47578093,76.36508855,104.4586494,41.1900928,37.42583752,691.0336458
2001,6.290428579,0,0,88.70169187,10.84832275,31.99786201,1.776182815,2.291660905,7.642510727,12.8113184,97.2694051,30.98724222,290.6166254
2002,40.46194701,2.620039165,0,0,26.64041799,18.7546647,65.66857579,124.3014903,89.16825688,241.0878856,96.51740849,8.287026197,713.5077121
2003,0,0,1.718380094,0,0.138579041,6.346919879,27.99296606,38.8575636,42.79321033,41.29655559,23.41985893,21.45203477,204.0160683
